0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Satoransky-Beal-PorterJr.-Morris-Gortat,515.5,1.16,1.08,+92,19,15,55.8
2,Wall-Beal-PorterJr.-Morris-Gortat,474.5,1.14,1.07,+67,19,11,63.3
3,Wall-Beal-OubreJr.-PorterJr.-Gortat,199.1,1.13,0.99,+67,13,7,65.0
4,Frazier-Beal-PorterJr.-Morris-Gortat,195.9,1.02,1.07,-21,5,8,38.4
5,Frazier-Meeks-OubreJr.-Scott-Mahinmi,162.8,1.09,1.15,-23,11,15,42.3
6,Satoransky-Meeks-OubreJr.-Scott-Mahinmi,155.3,1.04,1.10,-30,7,15,31.8
7,Wall-Beal-OubreJr.-Morris-Gortat,99.7,1.03,1.05,+0,11,6,64.7
8,Satoransky-Beal-OubreJr.-PorterJr.-Morris,85.6,1.35,1.05,+63,13,5,72.2
9,Wall-Beal-OubreJr.-PorterJr.-Morris,85.2,1.17,1.18,+6,7,6,53.8
10,Satoransky-Beal-OubreJr.-Scott-Mahinmi,73.2,1.20,1.04,+25,14,13,51.8
11,Satoransky-Beal-OubreJr.-PorterJr.-Gortat,66.2,1.15,1.04,+15,6,7,46.1
12,Wall-Beal-OubreJr.-Scott-Gortat,61.8,1.11,1.16,-14,6,11,35.2
13,Sessions-Meeks-OubreJr.-Scott-Mahinmi,57.4,0.98,1.22,-27,1,8,11.1
14,Frazier-Beal-OubreJr.-Scott-Mahinmi,52.2,1.04,0.90,+13,9,5,64.2
15,Satoransky-Beal-OubreJr.-Morris-Gortat,48.7,0.76,1.08,-33,4,10,28.5
16,Satoransky-Meeks-OubreJr.-Scott-Smith,41.0,1.02,1.09,-5,4,5,44.4
17,Wall-Beal-PorterJr.-Scott-Gortat,37.6,1.17,0.96,+19,5,2,71.4
18,Satoransky-Beal-OubreJr.-PorterJr.-Mahinmi,30.0,0.92,1.20,-18,3,11,21.4
19,Satoransky-Beal-OubreJr.-Scott-Morris,29.8,0.85,1.09,-16,2,8,20.0
20,Frazier-Satoransky-Meeks-Scott-Mahinmi,27.3,1.11,1.05,+4,4,1,80.0
