Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1213,HOU,Harden,75%,24.1,13.7,+10.4,+3.2,+4.3,-1.1,+6.6
1213,HOU,Garcia,8%,12.8,9.8,+3.0,+6.3,+3.2,+3.1,+3.0
1213,HOU,Delfino,43%,13.9,12.7,+1.1,+7.0,+0.8,+6.2,+2.8
1213,HOU,Beverley,18%,16.3,15.0,+1.2,+8.2,+2.4,+5.8,+2.7
1213,HOU,Asik,62%,16.2,16.3,-0.1,+5.7,-0.2,+5.9,+1.9
1213,HOU,Anderson,8%,14.9,15.7,-0.8,+8.3,+3.1,+5.2,+1.2
1213,HOU,Parsons,70%,16.2,14.0,+2.2,+2.6,+5.5,-2.9,+0.5
1213,HOU,Patterson,31%,16.3,18.2,-1.9,+2.9,+3.7,-0.8,-1.6
1213,HOU,Smith,28%,17.5,21.1,-3.6,+5.0,+2.9,+2.1,-1.7
1213,HOU,Jones,7%,18.1,18.4,-0.3,-0.7,+3.8,-4.5,-1.7
1213,HOU,Lin,67%,15.5,17.3,-1.8,+2.5,+5.4,-3.0,-2.2
1213,HOU,Douglas,23%,12.5,17.2,-4.7,+2.4,+3.8,-1.4,-3.6
1213,HOU,Morris,29%,12.6,16.7,-4.1,+0.2,+4.8,-4.5,-4.3
1213,HOU,Motiejunas,14%,12.3,20.2,-7.9,+3.6,+3.4,+0.1,-5.2
1213,HOU,Robinson,6%,12.7,19.6,-7.0,-1.0,+3.8,-4.7,-6.2
1213,HOU,Machado,1%,5.4,4.0,+1.4,-20.3,+3.6,-23.9,-7.0
1213,HOU,Cook,4%,8.8,17.1,-8.3,-7.6,+3.9,-11.5,-9.4
1213,HOU,Brooks,1%,4.9,15.9,-11.0,-10.1,+3.6,-13.7,-11.9
1213,HOU,Aldrich,5%,7.9,23.8,-15.9,-7.2,+4.1,-11.3,-14.3
1213,HOU,Ohlbrecht,0%,-8.0,-1.7,-6.3,-28.7,+3.6,-32.3,-14.9
